# id: regression_statistics
# title: Sea Ice Area climatologies and 21st century change in the CMIP5 and CMIP6 multi-model ensembles
# summary: This dataset comprises summary statistics regarding historical and projected Southern Hemisphere total sea ice area (SIA) and 21st century global temperature change (dTAS), evaluated from the multi-model ensembles contributing to CMIP5 and CMIP6 (Coupled Model Intercomparison Project phases 5 and 6). The metrics are evaluated for two climatological periods (1979-2014 and 2081-2100) from a number of CMIP experiments; historical, and ScenarioMIP or RCP runs. These metrics were calculated to calculate projections of future Antarctic sea ice loss, and drivers of ensemble spread in this variable, for Holmes et al. (2022) "Antarctic sea ice projections constrained by historical ice cover and future global temperature change"
# keywords: CMIP5, CMIP6, Climate Projections, Sea Ice
# authors: Caroline Holmes https://orcid.org/0000-0002-3134-555X
# institution: British Antarctic Survey
# acknowledgement: Caroline Holmes was funded under as part of the British Antarctic Survey Polar Science for Planet Earth Programme and under NERC large grant NE/N01829X/1.
# comment: For each combination of forcing scenario, dataset (i.e. CMIP5 or CMIP6 or special subsets therein) and season (February or September) and for each pair of variables named 'xname' and 'yname', the datafile contains full regression statistics:
# : * ensemble minimum, mean and max (as in Holmes et al. (2022) Table 1) and standard deviation of each variable
# : * r2 and its p-value, regression slope and intercept
# : * Where relevant, the constrained prediction, ; this constitutes the central prediction, 95% confidence interval, and 95% prediction interval. These correspond to the values in Holmes et al (2022) Figure 1b and 1d.
# : * There are 71 data rows: these correspond to 60 standard cases ((2 seasons)*(3 forcing scenarios)*(2 generations, CMIP5 and CMIP6) for 5 variable pairs (SIAhist:dSIA, SIAhist:dTAS, dTAS:dSIA, ECS:dSIA, and the multiple regressions)) plus eleven special cases for subsets of all models.
# : * All SIA (Sea Ice Area) values have units Mkm2 and temperatures have units deg C.
# references: Holmes, C. R., Bracegirdle, T. J., Holland, P. R. (2022). Antarctic sea ice projections constrained by historical ice cover and future global temperature change. https://doi.org/10.1029/2021GL097413
# license: http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
dataset,future experiment,n models,x name,y name,x min,x mean,x max,x standard deviation,y min,y mean,ymax,y standard deviation,r2,pval,intercept,slope,"95% prediction interval, lower, Bootstrap","95% confidence interval, lower, Bootstrap","ypred, Bootstrap","95% confidence interval, upper, Bootstrap","95% prediction interval, upper, Bootstrap","95% prediction interval, lower, NASATeam","95% confidence interval, lower, NASATeam","ypred, NASATeam","95% confidence interval, upper, NASATeam","95% prediction interval, upper, NASATeam"
CMIP6 group1 ice loss,ssp585,18,SIAhist Feb,Exceedance year Feb,0.25,1,2.95,0.77,2007,2063.94,2100,25.99,0.44,0,2041.68,22.35,,,,,,,,,,
CMIP5 group2 ice retained,rcp85,22,SIAhist Feb,dSIA Feb,0.22,2.61,6.76,1.99,-3.91,-1.56,-0.04,1.09,0.78,0,-0.29,-0.49,,,,,,,,,,
CMIP6 group2 ice retained,ssp585,5,SIAhist Feb,dSIA Feb,1.41,2.33,3.95,1.05,-3.31,-1.56,-0.36,1.23,0.98,0,1.13,-1.16,,,,,,,,,,
cmip5,rcp85,34,SIAhist Feb,dSIA Feb,0.02,1.79,6.76,1.95,-3.91,-1.09,-0.02,1.09,0.85,0,-0.16,-0.52,-2.24,-1.51,-1.36,-1.21,-0.48,-2.1,-1.37,-1.22,-1.07,-0.34
cmip6,ssp585,26,SIAhist Feb,dSIA Feb,0.01,1.14,3.95,1.01,-3.31,-0.95,0,0.89,0.92,0,0,-0.84,-2.51,-2.1,-1.94,-1.77,-1.37,-2.28,-1.86,-1.72,-1.57,-1.15
cmip5,rcp85,34,SIAhist Sep,dSIA Sep,4.8,14.62,20.03,4.36,-9.02,-4.32,1.27,2.43,0.48,0,1.31,-0.39,-8.76,-5.74,-5.06,-4.38,-1.36,-8.03,-4.96,-4.34,-3.72,-0.66
cmip6,ssp585,26,SIAhist Sep,dSIA Sep,3.26,13.63,19.93,4.14,-12.9,-5.71,-0.17,3.02,0.46,0,1.06,-0.5,-11.94,-8.28,-7.16,-6.03,-2.37,-10.98,-7.17,-6.23,-5.29,-1.48
cmip5,rcp26,24,SIAhist Feb,dTAS Ann,0.02,1.87,6.76,2.07,0.26,1,1.85,0.41,0.02,0.53,0.95,0.03,,,,,,,,,,
cmip6,ssp126,25,SIAhist Feb,dTAS Ann,0.01,1.19,3.95,1.04,0.77,1.36,2.36,0.52,0.31,0,1.04,0.27,,,,,,,,,,
cmip5,rcp26,24,dTAS Ann,dSIA Feb,0.26,1,1.85,0.41,-1.24,-0.28,0.53,0.44,0.28,0.01,0.29,-0.57,,,,,,,,,,
cmip6,ssp126,25,dTAS Ann,dSIA Feb,0.77,1.36,2.36,0.52,-1.77,-0.43,0.38,0.49,0.52,0,0.5,-0.68,,,,,,,,,,
cmip5 excluding (siarea clim)>(cmip6 max),rcp26,20,dTAS Ann,dSIA Feb,0.26,1.01,1.85,0.43,-1.16,-0.28,0.33,0.38,0.22,0.04,0.15,-0.42,,,,,,,,,,
cmip5,rcp26,24,"Multiple: dTAS Ann, SIAhist Feb",dSIA Feb,,,,,-1.24,-0.28,0.53,0.44,0.39,,,-0.53,,,,,,,,,,
cmip6,ssp126,25,"Multiple: dTAS Ann, SIAhist Feb",dSIA Feb,,,,,-1.77,-0.43,0.38,0.49,0.57,,,-0.54,,,,,,,,,,
cmip5,rcp26,20,ECS,dSIA Feb,2.1,3.24,4.7,0.77,-1.24,-0.24,0.53,0.42,0.06,0.28,0.2,-0.14,,,,,,,,,,
cmip6,ssp126,23,ECS,dSIA Feb,1.8,3.71,5.6,1.25,-1.77,-0.43,0.38,0.49,0.48,0,0.58,-0.27,,,,,,,,,,
cmip5,rcp26,24,SIAhist Sep,dTAS Ann,4.8,14.77,20.03,4.37,0.26,1,1.85,0.41,0.06,0.24,0.66,0.02,,,,,,,,,,
cmip6,ssp126,25,SIAhist Sep,dTAS Ann,3.26,13.33,19.93,4.02,0.77,1.36,2.36,0.52,0.09,0.14,0.84,0.04,,,,,,,,,,
cmip5,rcp26,24,dTAS Ann,dSIA Sep,0.26,1,1.85,0.41,-4.41,-1.31,2.49,1.64,0.38,0,1.15,-2.46,,,,,,,,,,
cmip6,ssp126,25,dTAS Ann,dSIA Sep,0.77,1.36,2.36,0.52,-7.38,-1.82,0.69,1.88,0.32,0,1,-2.07,,,,,,,,,,
cmip5,rcp26,24,"Multiple: dTAS Ann, SIAhist Sep",dSIA Sep,,,,,-4.41,-1.31,2.49,1.64,0.46,,,-2.19,,,,,,,,,,
cmip6,ssp126,25,"Multiple: dTAS Ann, SIAhist Sep",dSIA Sep,,,,,-7.38,-1.82,0.69,1.88,0.35,,,-1.86,,,,,,,,,,
cmip5,rcp26,20,ECS,dSIA Sep,2.1,3.24,4.7,0.77,-4.05,-1.11,2.49,1.61,0.18,0.06,1.74,-0.88,,,,,,,,,,
cmip6,ssp126,23,ECS,dSIA Sep,1.8,3.71,5.6,1.25,-7.38,-1.9,0.69,1.9,0.22,0.03,0.72,-0.71,,,,,,,,,,
cmip5,rcp45,33,SIAhist Feb,dTAS Ann,0.02,1.77,6.76,1.98,0.98,1.78,2.65,0.46,0.01,0.56,1.74,0.02,,,,,,,,,,
cmip6,ssp245,26,SIAhist Feb,dTAS Ann,0.01,1.12,3.95,1.03,1.43,2.28,3.64,0.6,0.37,0,1.89,0.36,,,,,,,,,,
cmip5,rcp45,33,dTAS Ann,dSIA Feb,0.98,1.78,2.65,0.46,-1.9,-0.52,0.12,0.59,0.12,0.04,0.27,-0.44,,,,,,,,,,
cmip6,ssp245,26,dTAS Ann,dSIA Feb,1.43,2.28,3.64,0.6,-1.9,-0.64,0.07,0.61,0.53,0,1.05,-0.74,,,,,,,,,,
cmip5 excluding (siarea clim)>(cmip6 max),rcp45,28,dTAS Ann,dSIA Feb,0.98,1.81,2.65,0.49,-1.82,-0.43,0.12,0.5,0.16,0.03,0.32,-0.42,,,,,,,,,,
cmip5,rcp45,33,"Multiple: dTAS Ann, SIAhist Feb",dSIA Feb,,,,,-1.9,-0.52,0.12,0.59,0.57,,,-0.36,,,,,,,,,,
cmip6,ssp245,26,"Multiple: dTAS Ann, SIAhist Feb",dSIA Feb,,,,,-1.9,-0.64,0.07,0.61,0.79,,,-0.34,,,,,,,,,,
cmip5,rcp45,23,ECS,dSIA Feb,2.1,3.18,4.7,0.77,-1.9,-0.47,0.12,0.6,0.07,0.24,0.16,-0.2,,,,,,,,,,
cmip6,ssp245,24,ECS,dSIA Feb,1.8,3.69,5.6,1.19,-1.9,-0.63,0.07,0.6,0.48,0,0.65,-0.35,,,,,,,,,,
cmip5,rcp45,33,SIAhist Sep,dTAS Ann,4.8,14.36,20.03,4.32,0.98,1.78,2.65,0.46,0.09,0.1,1.33,0.03,,,,,,,,,,
cmip6,ssp245,26,SIAhist Sep,dTAS Ann,3.26,13.69,19.93,4.02,1.43,2.28,3.64,0.6,0.23,0.01,1.31,0.07,,,,,,,,,,
cmip5,rcp45,33,dTAS Ann,dSIA Sep,0.98,1.78,2.65,0.46,-6.23,-1.96,2.6,1.87,0.25,0,1.6,-2,,,,,,,,,,
cmip6,ssp245,26,dTAS Ann,dSIA Sep,1.43,2.28,3.64,0.6,-10.61,-3.18,0.16,2.24,0.29,0,1.43,-2.02,,,,,,,,,,
cmip5,rcp45,33,"Multiple: dTAS Ann, SIAhist Sep",dSIA Sep,,,,,-6.23,-1.96,2.6,1.87,0.33,,,-1.64,,,,,,,,,,
cmip6,ssp245,26,"Multiple: dTAS Ann, SIAhist Sep",dSIA Sep,,,,,-10.61,-3.18,0.16,2.24,0.4,,,-1.36,,,,,,,,,,
cmip5,rcp45,23,ECS,dSIA Sep,2.1,3.18,4.7,0.77,-6.07,-1.73,2.6,1.94,0.14,0.08,1.27,-0.94,,,,,,,,,,
cmip6,ssp245,24,ECS,dSIA Sep,1.8,3.69,5.6,1.19,-10.61,-3.26,0.16,2.25,0.27,0.01,0.33,-0.97,,,,,,,,,,
cmip5,rcp85,34,SIAhist Feb,dTAS Ann,0.02,1.79,6.76,1.95,2.48,3.61,4.9,0.69,0.02,0.41,3.52,0.05,,,,,,,,,,
cmip6,ssp585,25,SIAhist Feb,dTAS Ann,0.01,1.13,3.95,1.04,2.61,4.19,6.15,1.04,0.45,0,3.42,0.68,,,,,,,,,,
cmip5,rcp85,34,dTAS Ann,dSIA Feb,2.48,3.61,4.9,0.69,-3.91,-1.09,-0.02,1.09,0.07,0.12,0.44,-0.42,,,,,,,,,,
cmip6,ssp585,25,dTAS Ann,dSIA Feb,2.61,4.19,6.15,1.04,-3.31,-0.94,0,0.91,0.6,0,1.86,-0.67,,,,,,,,,,
cmip5 excluding (siarea clim)>(cmip6 max),rcp85,29,dTAS Ann,dSIA Feb,2.48,3.63,4.9,0.74,-2.76,-0.78,-0.02,0.78,0.18,0.02,0.82,-0.44,,,,,,,,,,
cmip6 excluding (dTAS Ann)>5.5,ssp585,21,dTAS Ann,dSIA Feb,2.61,3.86,5.15,0.78,-2.15,-0.66,0,0.61,0.28,0.01,0.93,-0.41,,,,,,,,,,
cmip5,rcp85,34,"Multiple: dTAS Ann, SIAhist Feb",dSIA Feb,,,,,-3.91,-1.09,-0.02,1.09,0.87,,,-0.22,,,,,,,,,,
cmip6,ssp585,25,"Multiple: dTAS Ann, SIAhist Feb",dSIA Feb,,,,,-3.31,-0.94,0,0.91,0.95,,,-0.21,,,,,,,,,,
cmip5,rcp85,24,ECS,dSIA Feb,2.1,3.2,4.7,0.76,-3.91,-0.98,-0.02,1.1,0.07,0.21,0.24,-0.38,,,,,,,,,,
cmip6,ssp585,24,ECS,dSIA Feb,1.8,3.72,5.6,1.22,-3.31,-0.96,0,0.92,0.5,0,1.02,-0.53,,,,,,,,,,
cmip5,rcp85,34,SIAhist Sep,dTAS Ann,4.8,14.62,20.03,4.36,2.48,3.61,4.9,0.69,0.18,0.01,2.62,0.07,,,,,,,,,,
cmip6,ssp585,25,SIAhist Sep,dTAS Ann,3.26,13.46,19.93,4.13,2.61,4.19,6.15,1.04,0.18,0.04,2.75,0.11,,,,,,,,,,
cmip5,rcp85,34,dTAS Ann,dSIA Sep,2.48,3.61,4.9,0.69,-9.02,-4.32,1.27,2.43,0.3,0,2.55,-1.9,,,,,,,,,,
cmip6,ssp585,25,dTAS Ann,dSIA Sep,2.61,4.19,6.15,1.04,-12.9,-5.65,-0.17,3.06,0.47,0,2.74,-2,,,,,,,,,,
cmip5,rcp85,34,"Multiple: dTAS Ann, SIAhist Sep",dSIA Sep,,,,,-9.02,-4.32,1.27,2.43,0.55,,,-1.06,,,,,,,,,,
cmip6,ssp585,25,"Multiple: dTAS Ann, SIAhist Sep",dSIA Sep,,,,,-12.9,-5.65,-0.17,3.06,0.65,,,-1.42,,,,,,,,,,
cmip5,rcp85,24,ECS,dSIA Sep,2.1,3.2,4.7,0.76,-9.02,-4.05,1.27,2.57,0.26,0.01,1.42,-1.71,,,,,,,,,,
cmip6,ssp585,24,ECS,dSIA Sep,1.8,3.72,5.6,1.22,-12.9,-5.84,-0.17,2.98,0.49,0,0.5,-1.71,,,,,,,,,,
